cpu_usage,memory_usage,net_in,net_out,temperature,failed_auth,label,timestamp
30.763360332798023,47.637633254025964,234.13786309018005,213.7540920406097,34.237407734768496,3,0,2024-01-05 08:04:00
12.452601665317104,23.855543157427917,64.77461507835696,187.41876386435482,41.96541016250001,2,0,2024-01-05 17:33:00
37.333585916430536,40.26010966486694,126.24830285728807,126.13298318467442,46.34045993320551,1,0,2024-01-05 20:59:00
35.757579652184184,52.24676806837351,254.4364210875025,191.1685597359946,47.60375677801688,1,0,2024-01-04 20:17:00
36.6031182498386,30.633900113252693,115.63145348102593,176.3113568135154,52.71914415260693,1,0,2024-01-05 09:07:00
30.547089597311448,43.278405582822046,258.0513796945505,188.86005369845316,44.27028324993807,1,0,2024-01-02 22:34:00
32.67096058462476,41.57842691832293,253.5704332591578,140.6426702235048,43.199118720785464,3,0,2024-01-02 13:01:00
40.08416761136577,37.30129342981741,108.86029020456785,265.87222138987886,43.717330177797734,0,0,2024-01-04 16:02:00
25.896668007822907,28.85242910995937,170.10062162345523,163.63624230304018,41.92602456805808,1,0,2024-01-02 23:13:00
34.97684146536698,40.17786666946718,146.993353654289,187.43010362738312,34.89419120017239,2,0,2024-01-04 03:14:00
26.797654437500025,48.617171199090606,115.65939153775989,141.69557876286376,38.33925089855279,0,0,2024-01-03 00:42:00
38.50538598891597,42.858261609420005,207.26203271016453,179.33267676150095,41.47616818374877,2,0,2024-01-02 11:10:00
80.23698449603104,87.05513258067144,757.3617686500794,665.6260439237186,71.92403443971492,13,1,2024-01-06 15:02:00
48.06888425084778,56.33958640287095,169.43929422015748,244.9365969706621,43.1117791885897,2,0,2024-01-02 09:42:00
31.57248464607013,50.563751003838156,311.26585403099847,107.52409918138437,43.67465605498381,2,0,2024-01-06 00:34:00
39.89329586590303,51.796908313851446,234.14177223558553,175.47293801258118,47.6204366696573,0,0,2024-01-02 10:27:00
34.734599237353486,30.47934207620662,207.8214321594266,196.8140415378678,40.3367018037936,0,0,2024-01-02 07:20:00
34.36396975353551,59.07127890126707,205.40500865240642,173.48032238980818,42.38133246311038,2,0,2024-01-03 02:25:00
26.86294320556304,38.21086968050202,92.1152984034272,172.40513874761228,43.35704772803145,0,0,2024-01-04 02:24:00
28.222798714585277,27.331089406202587,165.7761956241954,193.20112244981766,49.232065805796516,4,0,2024-01-01 21:37:00
79.50290347020973,89.9935380290391,272.95990680315333,303.806399682077,77.87129725400513,0,1,2024-01-06 20:51:00
40.54216913043468,43.69906570015404,135.73882624811074,102.34815352437751,46.530276830261364,1,0,2024-01-01 11:50:00
20.80877727800896,20.001432912209786,284.56696898613006,104.73828908227263,42.849784032593284,2,0,2024-01-03 16:21:00
50.254641837270874,33.22396656721328,229.13563520264015,222.23705555617087,43.662440996815796,0,0,2024-01-02 08:14:00
39.89564586648906,42.76089869207952,222.59939552643672,167.12170326973532,41.11340980679958,1,0,2024-01-05 10:57:00
42.351274790826245,57.140612391520044,241.4319477290711,236.18803151596072,42.53847087513262,4,0,2024-01-04 13:55:00
35.476864886580096,39.434454916260705,155.01998294324517,226.37957605871068,55.15975512310543,1,0,2024-01-01 21:27:00
36.32285461087086,46.724565119583524,124.39952614086467,179.17823205844292,34.9832801095892,2,0,2024-01-05 00:25:00
25.60720677198295,53.85388789374663,314.59761112155786,387.9495717764653,39.59333008464713,22,1,2024-01-06 18:36:00
44.09858515336496,23.082093712593476,231.90192403939164,218.99610824142874,46.25386004864923,1,0,2024-01-04 18:52:00
35.74330173481246,36.285654167827474,144.07481518655857,145.63859310958836,47.06718481730391,1,0,2024-01-04 08:28:00
37.0700363666919,52.51034486612912,209.29832111338837,286.00715670814225,41.37900312183323,1,0,2024-01-03 21:44:00
35.52049785418747,61.79810150868557,295.036186457809,210.0216538365501,40.19292339409098,3,0,2024-01-01 11:40:00
33.646442598055714,25.658011353132384,215.6032709276468,218.66331073818006,45.49562516634645,2,0,2024-01-04 10:57:00
